Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
7884264	52179958	99	4	1000	0	0	0	0	highway=service surface=asphalt		2	45
7884560	52179873	99	22	1000	0	0	0	0	reversedirection=yes highway=service surface=compacted foot=permissive		18	378
7884870	52180155	103	31	1000	0	0	0	0	reversedirection=yes highway=service surface=asphalt foot=permissive route_hiking_lwn=yes		41	901
7885258	52180704	112	74	1000	0	0	0	0	reversedirection=yes highway=service surface=asphalt foot=permissive route_hiking_lwn=yes	barrier=lift_gate foot=yes bicycle=yes	59	2725
7885681	52181197	116	62	1000	0	0	0	0	reversedirection=yes highway=service surface=asphalt foot=permissive route_hiking_lwn=yes		113	6563
7886125	52181566	119	16	1000	0	0	0	0	reversedirection=yes highway=service surface=asphalt route_hiking_lwn=yes		127	7457
7885681	52181197	116	16	1000	0	0	0	0	highway=service surface=asphalt route_hiking_lwn=yes		11	50
7885258	52180704	112	62	1000	0	0	0	0	highway=service surface=asphalt foot=permissive route_hiking_lwn=yes	barrier=lift_gate foot=yes bicycle=yes	52	73
7885176	52180604	110	1	1000	0	0	0	0	highway=service surface=asphalt foot=permissive route_hiking_lwn=yes		53	73
7885176	52180604	110	12	1000	0	0	0	0	highway=service surface=asphalt foot=permissive route_hiking_lwn=yes		8	0
7884823	52180936	113	39	1000	0	0	0	0	highway=path surface=ground		37	729
7885141	52181556	119	65	1000	0	0	0	0	highway=path surface=ground		47	1062
7884949	52182854	135	153	1000	0	0	0	0	highway=path surface=ground		131	8214
7884949	52182854	135	7	1000	0	0	0	0	highway=path surface=ground		5	124
7886435	52183395	143	119	1000	0	0	0	0	reversedirection=yes highway=path surface=ground		96	3218
7887031	52183862	149	72	1000	0	0	0	0	reversedirection=yes highway=path surface=ground		54	1691
7887685	52183802	145	41	1000	0	0	0	0	reversedirection=yes highway=path		84	2393
7888391	52183697	139	54	1000	0	0	0	0	reversedirection=yes highway=path		37	170
7888477	52183363	136	38	1000	0	0	0	0	highway=service surface=asphalt route_hiking_lwn=yes		60	170
7888623	52183358	136	8	1000	0	0	0	0	reversedirection=yes highway=service surface=compacted		65	170
7888556	52183368	136	3	1000	0	0	0	0	highway=service surface=compacted		2	27
7889414	52184228	143	95	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 surface=compacted route_hiking_lwn=yes		73	2093
7889792	52185580	145	172	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 surface=compacted route_hiking_lwn=yes		124	2209
7890073	52185418	144	4	1000	0	0	0	0	highway=track tracktype=grade3 surface=compacted route_hiking_rwn=yes route_hiking_lwn=yes		127	2308
7890429	52185383	145	47	1000	0	0	0	0	highway=track tracktype=grade3 surface=compacted route_hiking_rwn=yes route_hiking_lwn=yes		33	326
7891401	52186027	155	100	1000	0	0	0	0	highway=track tracktype=grade3 surface=compacted route_hiking_rwn=yes route_hiking_lwn=yes		78	3159
7891478	52186067	156	6	1000	0	0	0	0	highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes mtb:scale:uphill=3		83	3469
7892718	52185857	163	77	1000	0	0	0	0	highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes mtb:scale:uphill=3		57	1409
7893083	52185582	162	54	1000	0	0	0	0	highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes mtb:scale:uphill=3		39	978
7899915	52182475	159	545	1000	0	0	0	0	highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		427	6520
7900231	52182356	156	74	1000	0	0	0	0	highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		54	1257
7900532	52182458	159	28	1000	0	0	0	0	highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		19	254
7901225	52182613	159	47	1000	0	0	0	0	highway=path surface=ground		54	1100
7901225	52182613	159	4	1000	0	0	0	0	highway=path surface=ground		2	37
7905303	52181538	154	296	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		207	1091
7906084	52180870	148	106	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		71	157
7905874	52180134	143	82	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		55	68
7905813	52180169	142	6	1000	0	0	0	0	highway=track access=no		59	68
7905874	52180134	143	6	1000	0	0	0	0	reversedirection=yes highway=track access=no		4	81
7906048	52179950	144	24	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		21	470
7906790	52180313	154	66	1000	0	0	0	0	reversedirection=yes highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		55	3125
7908770	52180530	149	136	1000	0	0	0	0	highway=path surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		159	6645
7911425	52179892	141	206	1000	0	0	0	0	highway=path surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		148	3088
7913344	52179081	144	155	1000	0	0	0	0	highway=path surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		111	2018
7913566	52179047	144	35	1000	0	0	0	0	highway=path surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		25	389
7912232	52178424	152	112	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		110	3225
7912284	52178381	153	16	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		11	297
7912614	52178280	156	25	1000	0	0	0	0	reversedirection=yes highway=steps route_hiking_rwn=yes route_hiking_lwn=yes		30	885
7912825	52178232	157	6	1000	0	0	0	0	highway=path tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		35	1026
7912825	52178232	157	2	1000	0	0	0	0	highway=path tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		1	18
7912825	52178232	157	8	1000	0	0	0	0	highway=path tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		5	124
7913014	52178291	160	15	1000	0	0	0	0	reversedirection=yes highway=steps route_hiking_rwn=yes route_hiking_lwn=yes		16	345
7913406	52178178	162	15	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		27	619
7913406	52178178	162	15	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		11	261
7913542	52178039	161	18	1000	0	0	0	0	reversedirection=yes highway=steps tracktype=grade3 surface=ground incline=down route_hiking_rwn=yes route_hiking_lwn=yes		23	444
7916807	52176626	189	261	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		257	17325
7920244	52175917	193	278	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes		203	4376
7920394	52175854	193	10	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes mtb:scale:uphill=4		211	4528
7921109	52175049	183	107	1000	0	0	0	0	reversedirection=yes highway=track tracktype=grade3 route_hiking_rwn=yes route_hiking_lwn=yes mtb:scale:uphill=4		68	47
7921014	52175019	183	5	1000	0	0	0	0	reversedirection=yes highway=path tracktype=grade3 surface=ground route_hiking_lwn=yes		72	47
7921109	52175049	183	5	1000	0	0	0	0	highway=path tracktype=grade3 surface=ground route_hiking_lwn=yes		3	57
7922131	52174804	182	58	1000	0	0	0	0	highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		44	460
7922131	52174804	182	18	1000	0	0	0	0	highway=track surface=gravel route_hiking_rwn=yes route_hiking_lwn=yes		12	166
7923228	52174828	183	77	1000	0	0	0	0	reversedirection=yes highway=path		68	1234
7925436	52173823	190	194	1000	0	0	0	0	reversedirection=yes highway=path		148	5068
7925436	52173823	190	5	1000	0	0	0	0	reversedirection=yes highway=path		3	35
7925438	52173733	190	10	1000	0	0	0	0	reversedirection=yes highway=service surface=compacted service=driveway		10	97
7925166	52173683	190	19	1000	0	0	0	0	highway=tertiary surface=asphalt maxspeed=100 lanes=2 route_bicycle_rcn=yes		24	280
7925203	52173603	190	9	1000	0	0	0	0	highway=track tracktype=grade2 surface=compacted		30	329
7925247	52173556	190	3	1000	0	0	0	0	highway=track tracktype=grade2 surface=compacted route_hiking_rwn=yes		32	339
7925774	52172693	194	107	1000	0	0	0	0	highway=track tracktype=grade2 surface=compacted route_hiking_rwn=yes		78	1749
7925662	52172563	194	3	1000	0	0	0	0	reversedirection=yes highway=path		80	1780
7925774	52172693	194	3	1000	0	0	0	0	highway=path		2	27
7926541	52172562	200	54	1000	0	0	0	0	highway=track tracktype=grade2 surface=compacted route_hiking_rwn=yes		43	1556
7929829	52172933	217	232	1000	0	0	0	0	highway=path tracktype=grade5 surface=dirt route_hiking_rwn=yes		243	14463
7930832	52171691	220	159	1000	0	0	0	0	highway=path tracktype=grade5 surface=dirt route_hiking_rwn=yes		118	3165
7930298	52171748	218	9	1000	0	0	0	0	reversedirection=yes highway=track access=no		125	3273
